COUNTY,PRECINCT,POLL,ADDRESS,TYPE,Latitude,Longitude
FULTON,09G,NA,1429 Fairmont Ave NW,PRIVATELY OWNED PROPERTY,33.7935731,-84.4213698
FULTON,SS29A,1st Baptist Church of Sandy Springs,650 Mt. Vernon Highway,CHURCH,33.9285297,-84.3649317
HALL,20-WEST WHELCHEL,1ST UNITED METHODIST CHURCH,"2780 Thompson Bridge Rd, Gainesville, GA 30506",CHURCH,34.347468,-83.850588
FULTON,06N,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd NeFam Life Center,CHURCH,33.8295399,-84.3858232
FULTON,06Q,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd NeFam Life Center,CHURCH,33.8295399,-84.3858232
FULTON,07H,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd NeFam Life Center,CHURCH,33.8295399,-84.3858232
CLAYTON,RD04,A. Harper Elementary School,"93 Valley Hill Road S.W., Riverdale, GA",SCHOOL,33.5645552,-84.3893545
FULTON,JC05,Abbotts Hill Elementary School,5575 Abbotts Bridge Road,SCHOOL,34.0562935,-84.19708
FULTON,SS05,Abernathy Arts Center,"54 Johnson Ferry Rd, Sandy Springs, GA 30328",NEW CHANGE,33.9349974,-84.391697
FULTON,SS18A,Abernathy Arts Center,"54 Johnson Ferry Rd, Sandy Springs, GA 30328",NEW CHANGE,33.9349974,-84.391697
FULTON,SS18B,Abernathy Arts Center,"54 Johnson Ferry Rd, Sandy Springs, GA 30328",NEW CHANGE,33.9349974,-84.391697
COBB,ACWORTH 1B AC1B,ACWORTH BEACH HOUSE,"4425 BEACH HOUSE, ACWORTH, GA 30101",MUNICIPAL BUILDING,34.0614388,-84.6836504
FULTON,12L,Adams Park Library,"2231 Campbellton Road Atlanta, GA 30311",NEW CHANGE,33.7056856,-84.4616622
FULTON,11G,Adams Park Library,2231 Campbellton Road SW,LIBRARY,33.7056856,-84.4616622
FULTON,12I,Adams Park Library,2231 Campbellton Road SW,LIBRARY,33.7056856,-84.4616622
CLAYTON,MO5,Adamson Middle School,"3187 Rex Rd, Rex, GA",SCHOOL,33.589727,-84.2861599
FULTON,03A,Allen Temple AME Church,"1625 Joseph E. Boone Blvd NW, GA",CHURCH,33.7646133,-84.4419227
DEKALB,ALLGOOD ELEM,Allgood Elementary School,"659 Allgood Road, Stone Mountain 30083",SCHOOL,33.7792336,-84.2117406
FULTON,AP04A,Alpharetta Crapapple Government Center,12624 Broadwell Road,MUNICIPAL BUILDING,34.0895074,-84.339863
FULTON,AP04B,Alpharetta Crapapple Government Center,12624 Broadwell Road,MUNICIPAL BUILDING,34.0895074,-84.339863
FULTON,AP06,Alpharetta Crapapple Government Center,12624 Broadwell Road,MUNICIPAL BUILDING,34.0895074,-84.339863
FULTON,AP12A,Alpharetta High School,3595 Webb Bridge Road,SCHOOL,34.0757525,-84.2551248
FULTON,AP12B,Alpharetta High School,3595 Webb Bridge Road,SCHOOL,34.0757525,-84.2551248
FULTON,AP12C,Alpharetta High School,3595 Webb Bridge Road,SCHOOL,34.0757525,-84.2551248
FULTON,AP10,Alpharetta Library,10 Park Plaza,LIBRARY,34.0739169,-84.2922892
GWINNETT,116 Amazing Grace Lutheran Church,116 Amazing Grace Lutheran Church,3305 Lawrenceville Hwy Lawrenceville GA 30044,CHURCH,33.9179474,-84.0941729
COBB,SMYRNA 6A SN6A,AMERICAN LEGION SMYRNA GEORGIA POST 160 INC,"160 LEGION DR, SMYRNA, GA 30080",PRIVATELY OWNED PROPERTY,33.8763654,-84.5185067
CLAYTON,MO1,Anderson Elementary School,"4199 Old Rockcut Rd, Conley, GA",SCHOOL,33.6405817,-84.3333779
GWINNETT,122 Anderson-Livsey Elementary (GCPS),122 Anderson-Livsey Elementary (GCPS),4521 Centerville Hwy Snellville GA 30039,SCHOOL,33.7754561,-84.0500694
GWINNETT,002 Annistown Elementary (GCPS),002 Annistown Elementary (GCPS),3150 Spain Road Snellville GA 30039,SCHOOL,33.8033223,-84.0688885
DEKALB,SOUTH HAIRSTON,Antioch A.M.E. Church,"765 South Hairston Road, Stone Mountain 30088",CHURCH,33.776074,-84.1939075
FULTON,03P1A,Antioch Baptist Ch Family Cntr,"540 Cameron M Alexander Blvd NW, GA",CHURCH,33.7678511,-84.4053414
FULTON,03P2,Antioch Baptist Ch Family Cntr,"540 Cameron M Alexander Blvd NW, GA",CHURCH,33.7678511,-84.4053414
FULTON,03I,Antioch Baptist Church Family Center,"540 Cameron M. Alexander Blvd NW, Atlanta, GA 30318",NEW CHANGE,33.7678511,-84.4053414
FULTON,04F,Antioch Baptist Church Family Center,"540 Cameron M. Alexander Blvd NW, Atlanta, GA 30318",NEW CHANGE,33.7678511,-84.4053414
DEKALB,ROCK CHAPEL ROAD,Rock Chapel Elementary,"1130 Rock Chapel Road, Lithonia, 30058",CHURCH,33.7595972,-84.0807548
GWINNETT,033 Arcado Elementary (GCPS),033 Arcado Elementary (GCPS),5150 Arcado Road SW Lilburn GA 30047,SCHOOL,33.871962,-84.1397871
COBB,SMYRNA 1A SN1A,ARGYLE ELEMENTARY SCHOOL,"2420 SPRING RD, SMYRNA, GA 30080",SCHOOL,33.8826324,-84.4834874
CLAYTON,JB11,Arnold Elementary School,"216 Stockbridge Rd, Jonesboro, GA",SCHOOL,33.5244652,-84.3478786
DEKALB,ASHFORD PARK ELEM (BHAVN),Ashford Park Elementary School,"2968 Cravenridge Drive, NE, Atlanta 30319",SCHOOL,33.874336,-84.322011
GWINNETT,066 Atlanta Chinese Christian Church,066 Atlanta Chinese Christian Church,4434 Britt Road Tucker GA 30084,CHURCH,33.8825042,-84.2076754
FORSYTH,04 CHESTATEE,Atlanta Cricket Fields,5395 Keith Bridge Rd. Cumming 30041,PRIVATELY OWNED PROPERTY,34.2878259,-84.0369498
DEKALB,EMORY SOUTH (ATL/DEKALB),Atlanta Metropolitan Church,"999 Briarcliff Road, Atlanta 30306",CHURCH,33.781369,-84.343053
FULTON,03C,Atlanta Police Athletic League,"120 Anderson Ave Nw, GA",PARK/REC CENTER,33.7579851,-84.4528404
FULTON,09H,The Fairmont,1429 Fairmont Ave NW,PRIVATELY OWNED PROPERTY,33.7935731,-84.4213698
COBB,AUSTELL 1A AU1A,AUSTELL COMMUNITY CENTER,"2625 JOE JERKINS BLVD, AUSTELL, GA 30106",MUNICIPAL BUILDING,33.8142827,-84.6306212
FULTON,JC13A,Autry Middle School,4110 Old Alabama Road,SCHOOL,34.0189091,-84.2396074
FULTON,JC13B,Autry Middle School,4110 Old Alabama Road,SCHOOL,34.0189091,-84.2396074
FULTON,FC02,Aviation Community Cultural Center,3900 Aviation Circle NW,COUNTY BUILDING,33.7730316,-84.5162976
DEKALB,AVONDALE (AVO),Avondale City Hall,"21 North Avondale Plaza, Avondale Estates 30002",MUNICIPAL BUILDING,33.7767372,-84.2662699
DEKALB,COVINGTON,Avondale Pattillo United Methodist Church,"3260 Covington Highway, Decatur 30032",CHURCH,33.7741488,-84.2569291
DEKALB,COVINGTON HWY,Avondale Pattillo United Methodist Church,"3260 Covington Highway, Decatur 30032",CHURCH,33.7741488,-84.2569291
CLAYTON,FP4,Babb Middle School,"5500 Reynolds Rd, Forest Park, GA",SCHOOL,33.6042339,-84.3533012
FULTON,SC08B,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
FULTON,SC08C,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
FULTON,SC08D,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
FULTON,SC08E,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
FULTON,SC08F,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
FULTON,SC08G,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
FULTON,SC08H,Banneker High School,6015 Feldwood Road,SCHOOL,33.5907246,-84.5193255
GWINNETT,057 BB Harris Elementary (GCPS),057 BB Harris Elementary (GCPS),3123 Claiborne Drive Duluth GA 30096,SCHOOL,33.9871244,-84.1341964
FULTON,SC07A,Bear Creek Middle School,7415 Herndon Road,SCHOOL,33.5563162,-84.6262885
FULTON,SC07C,Bear Creek Middle School,7415 Herndon Road,SCHOOL,33.5563162,-84.6262885
COBB,ROCKY MOUNT 01 RM01,BEAUTIFUL SAVIOR LUTHERAN CHURCH,"2240 SHALLOWFORD RD, MARIETTA, GA 30066",CHURCH,34.042721,-84.48555
GWINNETT,050 Beaver Ridge Elementary (GCPS),050 Beaver Ridge Elementary (GCPS),1978 Beaver Ruin Road Norcross GA 30071,SCHOOL,33.9344767,-84.1732882
GWINNETT,074 Beaver Ruin Road Baptist Church,074 Beaver Ruin Road Baptist Church,1200 Beaver Ruin Road Norcross GA 30093,CHURCH,33.9245599,-84.1366157
FULTON,10K,Beecher Hills Elementary School,2257 Bollingbrook Drive SW,SCHOOL,33.735838,-84.4636164
FULTON,11H,Beecher Hills Elementary School,2257 Bollingbrook Drive SW,SCHOOL,33.735838,-84.4636164
COBB,KENNESAW 3A KE3A,BEN ROBERTSON COMMUNITY CENTER,"2753 WATTS AVE, KENNESAW, GA",PARK/REC CENTER,34.021636,-84.621016
FULTON,01T,Benteen Elem School,"200 Cassanova St, GA",SCHOOL,33.7163181,-84.3646028
HENRY,(30) South Hampton,Berea Christian Church,"37 Woolsey Road, Hampton, Georgia 30228",CHURCH,33.3807322,-84.2932394
GWINNETT,035 Berean Baptist Church,035 Berean Baptist Church,1405 Hewatt Road Lilburn GA 30047,CHURCH,33.8725913,-84.0548603
HENRY,(41) Stagecoach,Berean Christian Church,"171 Collier Road, Stockbridge, GA 30281",CHURCH,33.5561696,-84.2296085
DEKALB,YOUNG ROAD,Berean Christian Church,"2201 Young Road, Stone Mountain 30088",CHURCH,33.7386111,-84.1716667
FULTON,03S,Berean Seventh Day Advent. Church,"291 Hamilton E Holmes Dr, GA",CHURCH,33.7630367,-84.4695
FULTON,10F,Berean Seventh Day Advent. Church,291 Hamilton E Holmes Dr,CHURCH,33.7630367,-84.4695
GWINNETT,120 Berkmar Middle School (GCPS),120 Berkmar Middle School (GCPS),4355 Lawrenceville Hwy Lilburn GA 30047,SCHOOL,33.9033091,-84.1281448
GWINNETT,038 Best Friend Park (GC Park),038 Best Friend Park (GC Park),6224 Jimmy Carter Blvd Norcross GA 30071,PARK/REC CENTER,33.927577,-84.2207036
GWINNETT,088 Bethany Baptist Church,088 Bethany Baptist Church,2306 Bethany Church Road Snellville GA 30039,CHURCH,33.833915,-84.0687131
HENRY,(52) Lake Dow,Bethany Baptist Church,"4 North Bethany Road, McDonough, Georgia 30252",CHURCH,33.429096,-84.0899952
COBB,WILLEO 01 WL01,BETHANY PRESBYTERIAN CHURCH,"4644 SANDY PLAINS RD, MARIETTA, GA",CHURCH,34.0612458,-84.4298358
HENRY,(46) Shakerag,Bethel United Methodist Church,"245 Fairview Road, Stockbridge, GA 30281",CHURCH,33.6149604,-84.2302325
DEKALB,SNAPFINGER ROAD NORTH,Bethesda Cathedral,"1989 Austin Drive, Decatur 30032",CHURCH,33.73172,-84.235571
GWINNETT,115 Bethesda Elementary (GCPS),115 Bethesda Elementary (GCPS),525 Bethesda School Road Lawrenceville GA 30044,SCHOOL,33.9255054,-84.0859203
GWINNETT,019 Bethesda UMC,019 Bethesda UMC,444 Bethesda Church Road Lawrenceville GA 30044,SCHOOL,33.9196295,-84.0845229
DEKALB,CLIFTON ELEM,Beulah Missionary Baptist Church,"2340 Clifton Springs Road, Decatur 30034",CHURCH,33.6980364,-84.2953753
PAULDING,BEULAHLAND BAPTIST CHURCH,BEULAHLAND BAPTIST CHURCH,"229 PLEASANT GROVE RD., ROCKMART 30153",CHURCH,33.8788236,-85.0066756
FULTON,01P,Bible Way Ministries,"894 Constitution Rd, GA",CHURCH,33.6937038,-84.3605994
FULTON,ML02A,Birmingham Falls Elementary,14865 Birmingham Highway,SCHOOL,34.1447443,-84.3407749
FULTON,ML02B,Birmingham Falls Elementary,14865 Birmingham Highway,SCHOOL,34.1447443,-84.3407749
COBB,BIRNEY 01 BR01,BIRNEY ELEMENTARY SCHOOL,"775 SMYRNA-POWDER SPRINGS ST, MARIETTA, GA",SCHOOL,33.8793317,-84.5757411
DEKALB,MATHISBOB MATHIS ELEM,Bob Mathis Elementary School,"3505 Boring Road, Decatur 3505",SCHOOL,33.6896541,-84.2410359
GWINNETT,009 Bogan Park Community Center (GC Park),009 Bogan Park Community Center (GC Park),2723 N Bogan Road Buford GA 30519,PARK/REC CENTER,34.1059398,-83.9682034
COBB,LOST MOUNTAIN 03 LM03,BOOTS WARD RECREATION CENTER,"4845 DALLAS HIGHWAY, POWDER SPRINGS, GA",PARK/REC CENTER,33.9436061,-84.6921757
HALL,24-GAINESVILLE IV,BRENAU DOWNTOWN CENTER,301 MAIN ST SW,COLLEGE/UNIVERSITY,34.2979434,-83.8254157
DEKALB,BRIAR VISTA ELEM (ATL/DEKALB),Briar Vista Elementary School,"1131 Briar Vista Terrace NE, Atlanta 30324",SCHOOL,33.8101122,-84.3381434
DEKALB,JOHNSON ESTATES (ATL),Briar Vista Elementary School,"1131 Briar Vista Terrace, NE, Atlanta 30324",SCHOOL,33.8101122,-84.3381434
DEKALB,BRIARCLIFF,Briarcliff Baptist Church,"3039 Briarcliff Road, NE, Atlanta 30329",CHURCH,33.837026,-84.313935
DEKALB,CORALWOOD,Briarlake Elementary School,"3590 La Vista Road, Decatur, GA 30033",NEW CHANGE 5/22,33.8391117,-84.2697299
DEKALB,BRIARLAKE ELEM,Briarlake Elementary School,"3590 LaVista Road, Decatur 30033",SCHOOL,33.8391117,-84.2697299
DEKALB,NORTHLAKE,Briarlake Elementary School,"3590 LaVista Road, Decatur, GA",NEW CHANGE 5/22,33.8391117,-84.2697299
DEKALB,BRIARWOOD (BHAVN),Briarwood Recreation Center,"2235 Briarwood Way NE, Atlanta 30319",PARK/REC CENTER,33.8496823,-84.3286609
COBB,MARIETTA 1A MR1A,BRIDGE POINTE CHURCH,"285 VICTORY DR, MARIETTA, GA 30060",CHURCH,33.9451712,-84.5311885
GWINNETT,030 Britt Elementary (GCPS),030 Britt Elementary (GCPS),2503 Skyland Drive Snellville GA 30078,SCHOOL,33.8539766,-84.0105743
DEKALB,BROCKETT ELEM (TUC),Brockett Elementary School,"1855 Brockett Road, Tucker 30084",SCHOOL,33.8374653,-84.2222808
DEKALB,SILVER LAKE (BHAVN) (ATL),Ashford Park Elementary,"2968 Cravenridge Drive, NE, Brookhaven, 30319",NEW CHANGE 6/3,33.8745999,-84.322277
FULTON,EP04A,Brookview Elementary School,3250 Hammarskjold Drive,SCHOOL,33.6464073,-84.4958093
FULTON,EP04B,Brookview Elementary School,3250 Hammarskjold Drive,SCHOOL,33.6464073,-84.4958093
CLAYTON,JB13,Brown Elementary School,"9771 Poston Rd, Jonesboro, GA",SCHOOL,33.4942142,-84.3637479
DEKALB,BROWN’S MILL ELEM (STCRST/DEKALB),Brown's Mill Elementary School,"4863 Brown's Mill Road, Lithonia 30038",SCHOOL,33.6769205,-84.1892491
GWINNETT,024 Buford City Hall,024 Buford City Hall,2300 Buford Highway Buford GA 30518,MUNICIPAL BUILDING,34.1158351,-83.9947325
GWINNETT,096 Bunten Road Park (Duluth City Park),096 Bunten Road Park (Duluth City Park),3180 Bunten Road Duluth GA 30096,PARK/REC CENTER,34.0010271,-84.1204267
FULTON,SC09A,Burdett Park Gym,2945 Burdett Road,PARK/REC CENTER,33.596371,-84.4845068
FULTON,SC09B,Burdett Park Gym,2945 Burdett Road,PARK/REC CENTER,33.596371,-84.4845068
FULTON,SC09C,Burdett Park Gym,2945 Burdett Road,PARK/REC CENTER,33.596371,-84.4845068
FULTON,SC27,Burdett Park Gym,2945 Burdett Road,PARK/REC CENTER,33.596371,-84.4845068
COBB,KEMP 03 KP03,BURNT HICKORY BAPTIST CHURCH,"5145 DUE WEST RD, POWDER SPRINGS, GA",CHURCH,33.965025,-84.698407
COBB,PINE MOUNTAIN 02 PM02,BURNT HICKORY CHURCH OF CHRIST,"2330 BURNT HICKORY RD, MARIETTA, 30064",CHURCH,33.9666098,-84.6196891
PAULDING,BURNT HICKORY PARK,BURNT HICKORY PARK,"8650 CARTERSVILLE HWY., DALLAS 30132",PARK/REC CENTER,34.0332348,-84.8365913
FULTON,05J,Butler Street Baptist Church,315 Ralph McGill Blvd,CHURCH,33.763602,-84.377314
FULTON,06F,Butler Street Baptist Church,315 Ralph McGill Blvd,CHURCH,33.763602,-84.377314
FULTON,03C,C. A. Scott Recreation Bldg,"1565 M L King Jr Dr SW, GA",PARK/REC CENTER,33.7533716,-84.4387277
FULTON,04D,C. A. Scott Recreation Bldg,"1565 M L King Jr Dr SW, GA",PARK/REC CENTER,33.7533716,-84.4387277
COBB,BIRNEY 02 BR02,C. FREEMAN POOLE SENIOR CENTER,"4025 SOUTH HURT RD, SMYRNA, GA",SENIOR CENTER,33.8569792,-84.5629585
FULTON,10C,C.T. Martin Nataorium & Recreation Center,3201 Martin Luther King Jr. Drive SW,PARK/REC CENTER,33.7541215,-84.491847
FULTON,10D,C.T. Martin Nataorium & Recreation Center,3201 Martin Luther King Jr. Drive SW,PARK/REC CENTER,33.7541215,-84.491847
GWINNETT,090 C3 Church,090 C3 Church,1065 Walther Blvd Lawrenceville GA 30043,CHURCH,33.974145,-84.01634
CLAYTON,JB02,Callaway Elementary School,"120 Oriole Dr, Jonesboro, GA",SCHOOL,33.5369328,-84.3938812
GWINNETT,065 Calvary Baptist Church,065 Calvary Baptist Church,5255 Hwy 29 Lilburn GA 30047,CHURCH,33.8897505,-84.1565523
COBB,DOBBINS 02 DI02,CALVARY BAPTIST CHURCH OF SMYRNA,"1243 BELMONT AVENUE, SMYRNA, GA",CHURCH,33.8940978,-84.5175211
HENRY,(31) North Hampton,Calvary Baptist Church,"109 Oak St., Hampton, Georgia 30228",CHURCH,33.3903094,-84.3011114
FORSYTH,02 BRANDYWINE,Calvary Chapel,200 James Rd. Alpharetta 30004,CHURCH,34.1270537,-84.2462482
COBB,PALMER 01 PR01,CALVARY CHAPEL WOODSTOCK,"50 SHALLOWFORD RD, KENNESAW, GA 30144",CHURCH,34.0695472,-84.5484278
FULTON,ML06B,Cambridge High School,2845 Bethany Bend,SCHOOL,34.1174976,-84.2744048
FULTON,CP051,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP05B,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP06A,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP07B,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP07C,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP07D,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP07E,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
FULTON,CP07F,Camp Truitt Senior Center,4320 Herschel Road,SENIOR CENTER,33.6375543,-84.471797
DEKALB,CANBY LANE ELEM,Canby Lane Elementary School,"4150 Green Hawk Trail, Decatur 30035",SCHOOL,33.722104,-84.220605
GWINNETT,047 Cannon UMC,047 Cannon UMC,2424 Webb Gin House Road Snellville GA 30078,CHURCH,33.886736,-84.03631
DEKALB,SMOKE RISE (TUC),Carmel Mar Thoma Center,"6015 Old Stone Mountain Road, Stone Mountain, GA 30087",CHURCH,33.8280506,-84.1410705
FULTON,11K,Cascade Elementary School,2326 Venetian Drive SW,SCHOOL,33.7172598,-84.4654996
FULTON,08L,Cathedral Of Saint Philip,2744 Peachtree Rd,CHURCH,33.8302248,-84.387433
FULTON,07F,Cathedral Of Saint Philip,2744 Peachtree Road,CHURCH,33.8302248,-84.387433
FULTON,07M,Cathedral of Saint Phillip,2744 Peachtree Rd NW,NEW CHANGE,33.8302248,-84.387433
FULTON,08G,Cathedral of Saint Phillip,2744 Peachtree Rd NW,NEW CHANGE,33.8302248,-84.387433
COBB,TIMBER RIDGE 01 TR01,CATHOLIC CHURCH OF ST ANN,"4905 ROSWELL RD NE, MARIETTA, GA 30062",CHURCH,33.9995483,-84.4078403
DEKALB,CEDAR GROVE ELEM,Cedar Grove Elementary School,"2330 River Road, Ellenwood 30294",SCHOOL,33.6762222,-84.296812
DEKALB,CEDAR GROVE MIDDLE,Cedar Grove Middle School,"2300 Wildcat Road, Decatur 30034",SCHOOL,33.6871888,-84.2954307
DEKALB,CEDAR GROVE SOUTH,Cedar Grove United Methodist Church,"3430 Bouldercrest Road, Conley 30288",CHURCH,33.6612297,-84.3013643
GWINNETT,044 Centerville Elementary (GCPS),044 Centerville Elementary (GCPS),3115 Centerville Hwy Snellville GA 30039,SCHOOL,33.8232342,-84.0360787
GWINNETT,153 Central Baptist Church,153 Central Baptist Church,250 Gwinnett Drive Lawrenceville GA 30045,CHURCH,33.9444983,-83.9957423
FORSYTH,03 BROWNS BRIDGE,Central Park Recreation Center,2300 Keith Bridge Rd. Cumming 30040,PARK/REC CENTER,34.2469162,-84.0972304
FULTON,02F1,Central Park Recreation Center,"400 Merritts Ave NE, GA",PARK/REC CENTER,33.769018,-84.3745204
FULTON,02F2,Central Park Recreation Center,"400 Merritts Ave NE, GA",PARK/REC CENTER,33.769018,-84.3745204
FULTON,02C,Central Park Recreation Center,"400 Merritts Avene, GA",NEW CHANGE,33.769018,-84.3745204
FULTON,05F,Central Park Recreation Center,400 Merritts Avene,NEW CHANGE,33.769018,-84.3745204
FULTON,03T,Central United Methodist Church,"501 Mitchell St, GA",CHURCH,33.7543712,-84.4039291
FULTON,04J,Central United Methodist Church,"501 Mitchell St, GA",CHURCH,33.7543712,-84.4039291
DEKALB,CHAMBLEE (CHA),Chamblee Civic Center,"3540 Broad Street, Chamblee 30341",MUNICIPAL BUILDING,33.896014,-84.299345
DEKALB,CHAMBLEE 2 (CHA),Chamblee Civic Center,"3540 Broad Street, Chamblee 30341",MUNICIPAL BUILDING,33.896014,-84.299345
DEKALB,STONE MOUNTAIN CHAMPION (STO),Champion Theme Middle School,"5265 Mimosa Drive, Stone Mountain 30083",SCHOOL,33.805185,-84.1739904
DEKALB,STONE MOUNTAIN (STO),Champion Theme Middle School,"5265 Mimosa Drive, Stone Mountain 30083",SCHOOL,33.805185,-84.1739904
DEKALB,CHAPEL HILL ELEM,Chapel Hill Elementary School,"3536 Radcliff Blvd., Decatur 30034",SCHOOL,33.6790429,-84.2187402
FULTON,08B,Chastain Park Gymnasium,140 W Wieuca Road,PARK/REC CENTER,33.8752592,-84.3912278
FULTON,08C,Chastain Park Gymnasium,140 W Wieuca Road,PARK/REC CENTER,33.8752592,-84.3912278
GWINNETT,111 Chattahoochee Elementary (GCPS),111 Chattahoochee Elementary (GCPS),2930 Albion Farm Road Duluth GA 30097,SCHOOL,34.0180577,-84.1476925
FULTON,CH01,Chattahoochee Hills City Hall,6505 Rico Road,MUNICIPAL BUILDING,33.5790097,-84.7689686
FULTON,CH02,Chattahoochee Hills City Hall,6505 Rico Road,MUNICIPAL BUILDING,33.5790097,-84.7689686
FULTON,CH03,Chattahoochee Hills City Hall,6505 Rico Road,MUNICIPAL BUILDING,33.5790097,-84.7689686
FULTON,CH04A,Chattahoochee Hills City Hall,6505 Rico Road,MUNICIPAL BUILDING,33.5790097,-84.7689686
FULTON,CHO5,Chattahoochee Hills City Hall,6505 Rico Road,MUNICIPAL BUILDING,33.5790097,-84.7689686
COBB,CHEATHAM HILL 03 CH03,CHEATHAM HILL ELEMENTARY SCHOOL,"1350 JOHN WARD RD, MARIETTA, GA",SCHOOL,33.9216188,-84.6208492
HALL,29-FRIENDSHIP II,CHEROKEE BLUFFS PARK,5867 BLACKJACK RD,PARK/REC CENTER,34.137506,-83.913029
DEKALB,CHESNUT ELEM (DUN),Chesnut Elementary School,"4576 North Peachtree Road, Dunwoody 30338",SCHOOL,33.9278479,-84.2959756
HALL,17-CHESTATEE,CHESTATEE HIGH SCHOOL,"3005 Sardis Rd, Gainesville, GA 30506",SCHOOL,34.3483366,-83.8931829
GWINNETT,134 Chestnut Grove Baptist Church,134 Chestnut Grove Baptist Church,2299 Rosebud Road Grayson GA 30017,CHURCH,33.8863768,-83.9593275
HALL,08-MORGAN I,CHESTNUT MOUNTAIN PRESBYTERIAN CHURCH,"4675 Winder Hwy, Flowery Branch, GA 30542",CHURCH,34.1750051,-83.8384181
COBB,CHESTNUT RIDGE 01 CR01,CHESTNUT RIDGE CHRISTIAN CHURCH,"2663 JOHNSON FERRY RD, MARIETTA, GA",CHURCH,34.0150026,-84.4313955
HALL,02-CHICOPEE,CHICOPEE BAPTIST CHURCH,"13 1st St, Gainesville, GA 30504",CHURCH,34.2518813,-83.8438755
COBB,WADE GREEN 02 WG02,CHRIST EPISCOPAL CHURCH,"1210 WOOTEN LAKE RD, KENNESAW, GA 30144",CHURCH,34.059321,-84.585933
HALL,09-MORGAN II,CHRIST PLACE CHURCH,"3428 Atlanta Hwy, Flowery Branch, GA 30542",CHURCH,34.2204836,-83.8645334
GWINNETT,124 Christ the Lord Lutheran Church,124 Christ the Lord Lutheran Church,1001 Duluth Hwy Lawrenceville GA 30043,CHURCH,33.9696318,-84.0292234
COBB,BELLS FERRY 02 BF02,CHRIST WORSHIP CENTER,"3393 CANTON RD, MARIETTA, GA 30066",CHURCH,34.0337867,-84.5282192
FULTON,SC211,Christian City Welcome Center,7345 Red Oak Road,MUNICIPAL BUILDING,33.556292,-84.5226355
FULTON,SC212,Christian City Welcome Center,7345 Red Oak Road,MUNICIPAL BUILDING,33.556292,-84.5226355
FULTON,UC031,Christian City Welcome Center,7345 Red Oak Road,MUNICIPAL BUILDING,33.556292,-84.5226355
FULTON,UC032,Christian City Welcome Center,7345 Red Oak Road,MUNICIPAL BUILDING,33.556292,-84.5226355
CLAYTON,OAK4,Christian Fellowship Baptist,"1500 Norman Dr, College Park, GA",CHURCH,33.6072195,-84.4391939
CLAYTON,MO6,Christian Life Center Worldwide,"6337 Georgia 42, Rex, GA",CHURCH,33.5794511,-84.2920635
DEKALB,BOULDERCREST ROAD,Church of Christ at Bouldercrest,"2727 Bouldercrest Road, SE, Atlanta 30316",CHURCH,33.6804194,-84.3094439
FULTON,SS11A,Church of the Redeemer,5185 Peachtree Dunwoody Road,CHURCH,33.8964174,-84.351438
FULTON,SS11B,Church of the Redeemer,5185 Peachtree Dunwoody Road,CHURCH,33.8964174,-84.351438
FULTON,SS11C,Church of the Redeemer,5185 Peachtree Dunwoody Road,CHURCH,33.8964174,-84.351438
FULTON,SS11D,Church of the Redeemer,5185 Peachtree Dunwoody Road,CHURCH,33.8964174,-84.351438
FULTON,SS13A,Church of the Redeemer,5185 Peachtree Dunwoody Road,CHURCH,33.8964174,-84.351438
FULTON,SS13B,Church of the Redeemer,5185 Peachtree Dunwoody Road,CHURCH,33.8964174,-84.351438
CLAYTON,RD03,Church Street Elementary School,"7013 Church St, Riverdale, GA",SCHOOL,33.563362,-84.418077
DEKALB,CLAIRMONT ROAD,Clairmont Presbyterian Church,"1994 Clairmont Road, Decatur 30033",CHURCH,33.8131842,-84.3080448
DEKALB,CLARKSTON COMMUNITY CEN (CLA),Clarkston Community Center,"3701 College Avenue, Clarkston 30021",MUNICIPAL BUILDING,33.8058024,-84.2386356
DEKALB,CLARKSTON (CLA),"Clarkston First Baptist Church, Family Life Center","4007 Church Street, Clarkston 30021",CHURCH,33.8116951,-84.2374241
CLAYTON,LC1,Clayton State UniversityArbor Hall,"5823 Trammell Rd, Morrow, GA",COLLEGE/UNIVERSITY,33.5958628,-84.3222292
