COUNTY,PRECINCT,POLL,ADDRESS,TYPE,Latitude,Longitude
DEKALB,DUNWOODY (DUN),The Church at Chapel Hill – Dunwoody Campus,"5067 Chamblee Dunwoody Road, Dunwoody 30338",CHURCH,33.9377441,-84.3250045
DEKALB,CLAIREMONT WEST (DEC),The Church at Decatur Heights,"735 Sycamore Drive, Decatur 30030",CHURCH,33.7827911,-84.2822189
DEKALB,PINE LAKE (PIN),The Club House,"300 Club House Drive, Pine Lake 30072",MUNICIPAL BUILDING,33.786328,-84.2062835
FULTON,SC15,The Enon Church,3550 Enon Road,CHURCH,33.6575,-84.5913889
COBB,DODGEN 01 DO01,THE EPISCOPAL CHURCH OF ST. PETER AND ST. PAUL,"1795 JOHNSON FERRY Road, Marietta, GA",CHURCH,33.9924155,-84.4295368
PAULDING,THE EVENTS PLACE,THE EVENTS PLACE,"855 HIRAM DOUGLASVILLE HWY., HIRAM 30141",MUNICIPAL BUILDING,33.8795642,-84.7598358
FULTON,08P,The Fairmont,1429 Fairmont Ave NW,PRIVATELY OWNED PROPERTY,33.7931344,-84.4214508
DEKALB,FLAT SHOALS PARKWAY,"The Greater Travelers Rest Baptist Church, H.F. Shepherd Multiplex Building","4650 Flat Shoals Parkway, Decatur 30034",CHURCH,33.6863574,-84.2340449
FULTON,10A,The Kindezi School- West,286 Wilson Mill Road,SCHOOL,33.7549027,-84.514106
GWINNETT,103 The NETT at BERKMAR,103 The NETT at BERKMAR,675 Pleasant Hill Road Lilburn GA 30047,CHURCH,33.9166095,-84.1142873
COBB,CHATTAHOOCHEE 01 CA01,"THE PACES FOUNDATION, INC.","2730 CUMBERLAND BLVD SE, SMYRNA, GA",PRIVATELY OWNED PROPERTY,33.8863681,-84.4768145
HALL,16-BARK CAMP,THE RIVER COMMUNITY CHURCH,"5043 Thompson Bridge Rd, Murrayville, GA 30564",CHURCH,34.4064855,-83.8965285
HALL,28-FRIENDSHIP I,THE VENUE AT FRIENDSHIP SPRINGS,7340 FRIENDSHIP SPRINGS BLVD,PRIVATELY OWNED PROPERTY,34.1115306,-83.8784662
